category,url,title,price,rooms,area,address,free_period,time_ago,collection_date
apartments,https://www.avito.ru/kurskaya_oblast_zheleznogorsk/kvartiry/3-k._kvartira_64_m_35_et._7716507319,"3-к. квартира, 64 м², 3/5 эт.",20000,3,64,"Курская обл., Железногорск, Курская ул., 13к1",Бесплатно более 2 месяцев,2 ноября 13:33,2025-12-14 15:06:31
apartments,https://www.avito.ru/kineshma/kvartiry/1-k._kvartira_45_m_35_et._7648411425,"1-к. квартира, 45 м², 3/5 эт.",35000,1,45,"Ивановская обл., Кинешма, ул. Менделеева, 7",Бесплатно более 2 месяцев,8 сентября 21:30,2025-12-14 15:06:35
apartments,https://www.avito.ru/mahachkala/kvartiry/1-k._kvartira_24_m_11_et._1791984259,"1-к. квартира, 24 м², 1/1 эт.",12000,1,24,"Республика Дагестан, Махачкала, Горская ул.",Бесплатно на 1 неделю,23 сентября 2019,2025-12-14 15:06:41
apartments,https://www.avito.ru/kazan/kvartiry/2-k._kvartira_70_m_78_et._7659334633,"2-к. квартира, 70 м², 7/8 эт.",41000,2,70,"Республика Татарстан (Татарстан), Казань, Минская ул., 51",Бесплатно более 2 месяцев,12 сентября 16:16,2025-12-14 15:06:47
apartments,https://www.avito.ru/orenburg/kvartiry/1-k._kvartira_31_m_49_et._7752145169,"1-к. квартира, 31 м², 4/9 эт.",17500,1,31,"Оренбургская обл., Оренбург, Алтайская ул., 2/2",Бесплатно на 2 недели,3 дня назад,2025-12-14 15:06:53
apartments,https://www.avito.ru/cheboksary/kvartiry/1-k._kvartira_40_m_78_et._295226266,"1-к. квартира, 40 м², 7/8 эт.",28000,1,40,"Чувашская Республика — Чувашия, Чебоксары, жилой район Северо-Западный, мкр-н Волжский-3, ул. Глеба Ильенко, 5",Бесплатно на 1 месяц,13 марта 2014,2025-12-14 15:06:59
apartments,https://www.avito.ru/zavodoukovsk/kvartiry/2-k._kvartira_44_m_15_et._7818606461,"2-к. квартира, 44 м², 1/5 эт.",3000,2,44,"Тюменская обл., Заводоуковский муниципальный округ, Заводоуковск, Заводская ул., 11А",Бесплатно более 2 месяцев,7 дней назад,2025-12-14 15:07:05
apartments,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20_m_2025_et._7593690361,"Квартира-студия, 20 м², 20/25 эт.",35000,студия,20,"Санкт-Петербург, пос. Парголово, Толубеевский пр., 36к1",Бесплатно на 2 недели,17 августа 00:16,2025-12-14 15:07:10
apartments,https://www.avito.ru/neftekumsk/kvartiry/1-k._kvartira_297_m_45_et._7638178774,"1-к. квартира, 29,7 м², 4/5 эт.",14000,1,29.7,"Ставропольский край, Нефтекумский муниципальный округ, Нефтекумск, 1-й мкр-н, 16",Бесплатно более 2 месяцев,27 августа 07:19,2025-12-14 15:07:15
apartments,https://www.avito.ru/vidnoe/kvartiry/2-k._kvartira_57_m_2020_et._7791450316,"2-к. квартира, 57 м², 20/20 эт.",40000,2,57,"Московская обл., Ленинский г.о., д. Сапроново, ул. Западный Квартал, 7к2",Бесплатно на 1 неделю,1 неделю назад,2025-12-14 15:07:20
